"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn10285207","DET0042501_avg_seg.nii.gz","1","application/gzip","1782","3324839","1502375034893","3324839","1502375034893","syn10285076","https://www.synapse.org/#!Synapse:syn10285207.1","6be18363385ad4d1e3969ba08bbd978b"
"syn10285136","DET0009301_avg_seg.nii.gz","1","application/gzip","1854","3324839","1502374954236","3324839","1502374954236","syn10285076","https://www.synapse.org/#!Synapse:syn10285136.1","4a3a9816ff6f0a05dfce15b80d39114d"
"syn10285214","DET0028801_avg_seg.nii.gz","1","application/gzip","1869","3324839","1502375047542","3324839","1502375047542","syn10285076","https://www.synapse.org/#!Synapse:syn10285214.1","ce0485d8e274368efa5057d921bb9917"
"syn10285199","DET0043101_avg_seg.nii.gz","1","application/gzip","1887","3324839","1502375020707","3324839","1502375020707","syn10285076","https://www.synapse.org/#!Synapse:syn10285199.1","04c8c224f8892e39ae44596e844cba14"
"syn10285215","DET0001601_avg_seg.nii.gz","1","application/gzip","2040","3324839","1502375049884","3324839","1502375049884","syn10285076","https://www.synapse.org/#!Synapse:syn10285215.1","f94a1e71c16515688ca81bf8214257cd"
"syn10285115","DET0016101_avg_seg.nii.gz","1","application/gzip","2044","3324839","1502374932237","3324839","1502374932237","syn10285076","https://www.synapse.org/#!Synapse:syn10285115.1","11ce14b383237818ec8fe957bb8a7e0b"
"syn10285224","DET0000101_avg_seg.nii.gz","1","application/gzip","2129","3324839","1502375065861","3324839","1502375065861","syn10285076","https://www.synapse.org/#!Synapse:syn10285224.1","91231b339ad142faa29309ae8024627d"
"syn10285212","DET0015201_avg_seg.nii.gz","1","application/gzip","2167","3324839","1502375043461","3324839","1502375043461","syn10285076","https://www.synapse.org/#!Synapse:syn10285212.1","4c6f1a1cbe687cb47549a5c043d460b8"
"syn10285211","DET0000201_avg_seg.nii.gz","1","application/gzip","2172","3324839","1502375041583","3324839","1502375041583","syn10285076","https://www.synapse.org/#!Synapse:syn10285211.1","0dec2a6b1248826080a084d73dbf086a"
"syn10285204","DET0015401_avg_seg.nii.gz","1","application/gzip","2183","3324839","1502375028659","3324839","1502375028659","syn10285076","https://www.synapse.org/#!Synapse:syn10285204.1","886585387bc7d156ccb2b6d4f502b30f"
"syn10285193","DET0039501_avg_seg.nii.gz","1","application/gzip","2242","3324839","1502375013335","3324839","1502375013335","syn10285076","https://www.synapse.org/#!Synapse:syn10285193.1","16ffce3a12d19beeb59ff105e30663a0"
"syn10285191","DET0003801_avg_seg.nii.gz","1","application/gzip","2291","3324839","1502375010518","3324839","1502375010518","syn10285076","https://www.synapse.org/#!Synapse:syn10285191.1","dae00446c9f3f0de87e4b5b0a88e9555"
"syn10285185","DET0001301_avg_seg.nii.gz","1","application/gzip","2300","3324839","1502375005528","3324839","1502375005528","syn10285076","https://www.synapse.org/#!Synapse:syn10285185.1","e20e5d97ed65c3915d5127e7c719c425"
"syn10285206","DET0001101_avg_seg.nii.gz","1","application/gzip","2309","3324839","1502375032968","3324839","1502375032968","syn10285076","https://www.synapse.org/#!Synapse:syn10285206.1","e02ce950fc5994115b8ac51c588e7b36"
"syn10285172","DET0001201_avg_seg.nii.gz","1","application/gzip","2347","3324839","1502374989326","3324839","1502374989326","syn10285076","https://www.synapse.org/#!Synapse:syn10285172.1","952953ae1430c573f15858b9a79b56bf"
"syn10285146","DET0005401_avg_seg.nii.gz","1","application/gzip","2360","3324839","1502374961753","3324839","1502374961753","syn10285076","https://www.synapse.org/#!Synapse:syn10285146.1","7295cf8e767cdc35ca4c51a8bc43225e"
"syn10285196","DET0006501_avg_seg.nii.gz","1","application/gzip","2392","3324839","1502375016802","3324839","1502375016802","syn10285076","https://www.synapse.org/#!Synapse:syn10285196.1","2d31d868824cfa41ed3678f760c40a86"
"syn10285222","DET0030901_avg_seg.nii.gz","1","application/gzip","2396","3324839","1502375062952","3324839","1502375062952","syn10285076","https://www.synapse.org/#!Synapse:syn10285222.1","3b59f7b8c6582b2f0e5da233fa04bd55"
"syn10285121","DET0037101_avg_seg.nii.gz","1","application/gzip","2407","3324839","1502374938159","3324839","1502374938159","syn10285076","https://www.synapse.org/#!Synapse:syn10285121.1","6e7a8afc5e0cf0d2bf628507556d0939"
"syn10285226","DET0004901_avg_seg.nii.gz","1","application/gzip","2415","3324839","1502375068670","3324839","1502375068670","syn10285076","https://www.synapse.org/#!Synapse:syn10285226.1","b91f1fe207ba6248548855b8cc2bdf25"
"syn10285195","DET0015601_avg_seg.nii.gz","1","application/gzip","2446","3324839","1502375015071","3324839","1502375015071","syn10285076","https://www.synapse.org/#!Synapse:syn10285195.1","8be3bac16e24b955753e9a9750f79e29"
"syn10285128","DET0002501_avg_seg.nii.gz","1","application/gzip","2473","3324839","1502374946144","3324839","1502374946144","syn10285076","https://www.synapse.org/#!Synapse:syn10285128.1","168f91b1d4cd1a63b9684f01bbbc86c1"
"syn10285209","DET0001701_avg_seg.nii.gz","1","application/gzip","2495","3324839","1502375039565","3324839","1502375039565","syn10285076","https://www.synapse.org/#!Synapse:syn10285209.1","f089d140d93226a95280c658c0832dd4"
"syn10285117","DET0026901_avg_seg.nii.gz","1","application/gzip","2511","3324839","1502374933896","3324839","1502374933896","syn10285076","https://www.synapse.org/#!Synapse:syn10285117.1","875183df45ecdfc518b47d56942f17f8"
"syn10285161","DET0010601_avg_seg.nii.gz","1","application/gzip","2515","3324839","1502374976114","3324839","1502374976114","syn10285076","https://www.synapse.org/#!Synapse:syn10285161.1","bf3ce2197675a6637cf19759137ffe99"
"syn10285096","DET0001801_avg_seg.nii.gz","1","application/gzip","2516","3324839","1502374912062","3324839","1502374912062","syn10285076","https://www.synapse.org/#!Synapse:syn10285096.1","871a0dbf02e1cc550d6bd3373159268d"
"syn10285225","DET0001401_avg_seg.nii.gz","1","application/gzip","2528","3324839","1502375067358","3324839","1502375067358","syn10285076","https://www.synapse.org/#!Synapse:syn10285225.1","d4947534a45a8e6b691220d0d8e55471"
"syn10285198","DET0005801_avg_seg.nii.gz","1","application/gzip","2547","3324839","1502375019140","3324839","1502375019140","syn10285076","https://www.synapse.org/#!Synapse:syn10285198.1","b12d6b9af8e1d10a8dd4f480075da253"
"syn10285151","DET0040001_avg_seg.nii.gz","1","application/gzip","2557","3324839","1502374967333","3324839","1502374967333","syn10285076","https://www.synapse.org/#!Synapse:syn10285151.1","8e98e8563812995af86a36e36451ca6d"
"syn10285119","DET0004701_avg_seg.nii.gz","1","application/gzip","2570","3324839","1502374935817","3324839","1502374935817","syn10285076","https://www.synapse.org/#!Synapse:syn10285119.1","3462364ef98b53c9601d790778334dc0"
"syn10285202","DET0021501_avg_seg.nii.gz","1","application/gzip","2585","3324839","1502375024594","3324839","1502375024594","syn10285076","https://www.synapse.org/#!Synapse:syn10285202.1","b5c3048e70cc746a923e51c04b5f3852"
"syn10285180","DET0006401_avg_seg.nii.gz","1","application/gzip","2614","3324839","1502374997760","3324839","1502374997760","syn10285076","https://www.synapse.org/#!Synapse:syn10285180.1","efebe6c46fa079cde82d4c77e683b6c7"
"syn10285218","DET0006301_avg_seg.nii.gz","1","application/gzip","2631","3324839","1502375056392","3324839","1502375056392","syn10285076","https://www.synapse.org/#!Synapse:syn10285218.1","3a5752ac24edf335e607fcbe8a590a0b"
"syn10285123","DET0002401_avg_seg.nii.gz","1","application/gzip","2676","3324839","1502374940110","3324839","1502374940110","syn10285076","https://www.synapse.org/#!Synapse:syn10285123.1","3d83122b234f4b1fa944a019e45ef981"
"syn10285142","DET0004101_avg_seg.nii.gz","1","application/gzip","2690","3324839","1502374958811","3324839","1502374958811","syn10285076","https://www.synapse.org/#!Synapse:syn10285142.1","cedb6ea8afde1647855cf30b21561ffb"
"syn10285098","DET0002601_avg_seg.nii.gz","1","application/gzip","2695","3324839","1502374913534","3324839","1502374913534","syn10285076","https://www.synapse.org/#!Synapse:syn10285098.1","07a7e9d968a66296494b95a92c008d9c"
"syn10285108","DET0005101_avg_seg.nii.gz","1","application/gzip","2710","3324839","1502374924447","3324839","1502374924447","syn10285076","https://www.synapse.org/#!Synapse:syn10285108.1","66f1eae29e5ff137bb81ad4b93b2fb74"
"syn10285178","DET0014201_avg_seg.nii.gz","1","application/gzip","2724","3324839","1502374995531","3324839","1502374995531","syn10285076","https://www.synapse.org/#!Synapse:syn10285178.1","5f514a73f3a02bace7ed042ced6e0cd7"
"syn10285208","DET0044601_avg_seg.nii.gz","1","application/gzip","2736","3324839","1502375037413","3324839","1502375037413","syn10285076","https://www.synapse.org/#!Synapse:syn10285208.1","3fbcb6f6701351896d437f03290640fb"
"syn10285187","DET0008801_avg_seg.nii.gz","1","application/gzip","2768","3324839","1502375007093","3324839","1502375007093","syn10285076","https://www.synapse.org/#!Synapse:syn10285187.1","3a32372a9b5a1db1b917c006a5bf1786"
"syn10285174","DET0008901_avg_seg.nii.gz","1","application/gzip","2772","3324839","1502374990971","3324839","1502374990971","syn10285076","https://www.synapse.org/#!Synapse:syn10285174.1","cfc84088004fb1c4a1bc1a028d8ef27c"
"syn10285164","DET0002001_avg_seg.nii.gz","1","application/gzip","2816","3324839","1502374980034","3324839","1502374980034","syn10285076","https://www.synapse.org/#!Synapse:syn10285164.1","4b28ff21164e42e0daa8dfd648ab3ba7"
"syn10285166","DET0004301_avg_seg.nii.gz","1","application/gzip","2828","3324839","1502374983240","3324839","1502374983240","syn10285076","https://www.synapse.org/#!Synapse:syn10285166.1","a5dad47b6e2f893ef2f830de2dc36b44"
"syn10285213","DET0006101_avg_seg.nii.gz","1","application/gzip","2838","3324839","1502375045294","3324839","1502375045294","syn10285076","https://www.synapse.org/#!Synapse:syn10285213.1","fb4f78c82f9bae63c4d0834f4cc81056"
"syn10285140","DET0040201_avg_seg.nii.gz","1","application/gzip","2844","3324839","1502374957430","3324839","1502374957430","syn10285076","https://www.synapse.org/#!Synapse:syn10285140.1","fb0166696c78cfb58d9238409b4e02da"
"syn10285217","DET0006001_avg_seg.nii.gz","1","application/gzip","2934","3324839","1502375054974","3324839","1502375054974","syn10285076","https://www.synapse.org/#!Synapse:syn10285217.1","01a8f81e3d6ba814f671628031be65d6"
"syn10285148","DET0005701_avg_seg.nii.gz","1","application/gzip","2943","3324839","1502374963168","3324839","1502374963168","syn10285076","https://www.synapse.org/#!Synapse:syn10285148.1","a575542d48ba52e0d159fc340416db7d"
"syn10285223","DET0006201_avg_seg.nii.gz","1","application/gzip","2984","3324839","1502375064518","3324839","1502375064518","syn10285076","https://www.synapse.org/#!Synapse:syn10285223.1","a073ced00dc33a83968dfc41a0996b37"
"syn10285221","DET0001501_avg_seg.nii.gz","1","application/gzip","3005","3324839","1502375061516","3324839","1502375061516","syn10285076","https://www.synapse.org/#!Synapse:syn10285221.1","62f2f78cab96ffd816270b57e43830ca"
"syn10285134","DET0003601_avg_seg.nii.gz","1","application/gzip","3007","3324839","1502374951583","3324839","1502374951583","syn10285076","https://www.synapse.org/#!Synapse:syn10285134.1","330e7f755c34f803289bded5d72c8d9a"
"syn10285104","DET0002701_avg_seg.nii.gz","1","application/gzip","3009","3324839","1502374919852","3324839","1502374919852","syn10285076","https://www.synapse.org/#!Synapse:syn10285104.1","3588c2903a18e8b1e9e9bd7af7a4cc41"
"syn10285176","DET0007101_avg_seg.nii.gz","1","application/gzip","3016","3324839","1502374993469","3324839","1502374993469","syn10285076","https://www.synapse.org/#!Synapse:syn10285176.1","3fee3a40392a0a360f83f4cd2de329c5"
"syn10285127","DET0004601_avg_seg.nii.gz","1","application/gzip","3113","3324839","1502374944343","3324839","1502374944343","syn10285076","https://www.synapse.org/#!Synapse:syn10285127.1","9daa794cb69a70e4c5c57ed1a7937a1b"
"syn10285155","DET0040101_avg_seg.nii.gz","1","application/gzip","3114","3324839","1502374970427","3324839","1502374970427","syn10285076","https://www.synapse.org/#!Synapse:syn10285155.1","59d2f145845f32e5a4d3fed37cf6ccff"
"syn10285113","DET0005201_avg_seg.nii.gz","1","application/gzip","3199","3324839","1502374930820","3324839","1502374930820","syn10285076","https://www.synapse.org/#!Synapse:syn10285113.1","4f984c23adae096f01b9bc61445747d5"
"syn10285100","DET0005001_avg_seg.nii.gz","1","application/gzip","3217","3324839","1502374914944","3324839","1502374914944","syn10285076","https://www.synapse.org/#!Synapse:syn10285100.1","85fabf337dc50f6237618326ebd5ad54"
"syn10285153","DET0004201_avg_seg.nii.gz","1","application/gzip","3230","3324839","1502374968702","3324839","1502374968702","syn10285076","https://www.synapse.org/#!Synapse:syn10285153.1","4e60ecf27ee6f1081877557f2826d40c"
"syn10285184","DET0039401_avg_seg.nii.gz","1","application/gzip","3346","3324839","1502375003776","3324839","1502375003776","syn10285076","https://www.synapse.org/#!Synapse:syn10285184.1","201c6ce155c457407e13ff5535c14de5"
"syn10285106","DET0004401_avg_seg.nii.gz","1","application/gzip","3361","3324839","1502374922697","3324839","1502374922697","syn10285076","https://www.synapse.org/#!Synapse:syn10285106.1","df76beb2f022b1b77c76e7ea3c6e0304"
"syn10285216","DET0002801_avg_seg.nii.gz","1","application/gzip","3404","3324839","1502375052931","3324839","1502375052931","syn10285076","https://www.synapse.org/#!Synapse:syn10285216.1","ef1a076c09d68eecbe25aaa21555ba0d"
"syn10285132","DET0004001_avg_seg.nii.gz","1","application/gzip","3455","3324839","1502374950122","3324839","1502374950122","syn10285076","https://www.synapse.org/#!Synapse:syn10285132.1","45a4f65f436b775ceb51f8ac1ca42ccf"
"syn10285182","DET0003901_avg_seg.nii.gz","1","application/gzip","3463","3324839","1502375001573","3324839","1502375001573","syn10285076","https://www.synapse.org/#!Synapse:syn10285182.1","fced25cb6b6a0bf387542222b7a2e5ce"
"syn10285220","DET0004801_avg_seg.nii.gz","1","application/gzip","3504","3324839","1502375059693","3324839","1502375059693","syn10285076","https://www.synapse.org/#!Synapse:syn10285220.1","09b6d27fa20eb6d4c0539d34bf5fb7f5"
"syn10285159","DET0005601_avg_seg.nii.gz","1","application/gzip","3519","3324839","1502374973848","3324839","1502374973848","syn10285076","https://www.synapse.org/#!Synapse:syn10285159.1","75506cb124855e7dcab02f5cc6d9bbdf"
"syn10285219","DET0035501_avg_seg.nii.gz","1","application/gzip","3532","3324839","1502375057953","3324839","1502375057953","syn10285076","https://www.synapse.org/#!Synapse:syn10285219.1","dd72bc45b5cc48a7d6798f58bca36a25"
"syn10285203","DET0005901_avg_seg.nii.gz","1","application/gzip","3689","3324839","1502375026095","3324839","1502375026095","syn10285076","https://www.synapse.org/#!Synapse:syn10285203.1","ed6666961b9dda007599afb071ec2eb2"
"syn10285205","DET0014101_avg_seg.nii.gz","1","application/gzip","3766","3324839","1502375031449","3324839","1502375031449","syn10285076","https://www.synapse.org/#!Synapse:syn10285205.1","318aa51e6942845b7d2e74ba0dafee4f"
"syn10285102","DET0003301_avg_seg.nii.gz","1","application/gzip","7018","3324839","1502374918273","3324839","1502374918273","syn10285076","https://www.synapse.org/#!Synapse:syn10285102.1","43851d832b9c6f779b75d5a99434be8d"
"syn10285112","DET0003101_avg_seg.nii.gz","1","application/gzip","8189","3324839","1502374929260","3324839","1502374929260","syn10285076","https://www.synapse.org/#!Synapse:syn10285112.1","7d732c202677427b1977be29b031e3d2"
"syn10285110","DET0003201_avg_seg.nii.gz","1","application/gzip","9184","3324839","1502374926692","3324839","1502374926692","syn10285076","https://www.synapse.org/#!Synapse:syn10285110.1","6c29ce427fab07f2c09107f96e6fadd0"
"syn10285150","DET0003401_avg_seg.nii.gz","1","application/gzip","9473","3324839","1502374964867","3324839","1502374964867","syn10285076","https://www.synapse.org/#!Synapse:syn10285150.1","bd50e35f046b6a6aa576a984d8eaf873"
"syn10285163","DET0003501_avg_seg.nii.gz","1","application/gzip","9810","3324839","1502374978561","3324839","1502374978561","syn10285076","https://www.synapse.org/#!Synapse:syn10285163.1","745f9dd8b32020cdac7268ff57e8f8c8"
"syn10285041","DET0000601_avg.nii.gz","1","application/gzip","136803","3324839","1502374709911","3324839","1502374709911","syn10284975","https://www.synapse.org/#!Synapse:syn10285041.1","bbd9699f94d302464c794919e0d14c45"
"syn10285101","DET0021701_avg.nii.gz","1","application/gzip","139594","3324839","1502374915634","3324839","1502374915634","syn10285054","https://www.synapse.org/#!Synapse:syn10285101.1","b23d0114af1eb14c89d2c106a8473f31"
"syn10285067","DET0028301_avg.nii.gz","1","application/gzip","151031","3324839","1502374859837","3324839","1502374859837","syn10285054","https://www.synapse.org/#!Synapse:syn10285067.1","e74723a319466b2a634ee30746af87e5"
"syn10285147","DET0000801_avg.nii.gz","1","application/gzip","160538","3324839","1502374962829","3324839","1502374962829","syn10285054","https://www.synapse.org/#!Synapse:syn10285147.1","6810e30ccc1e26ecf8e52bbf9bcecebc"
"syn10285014","DET0025001_avg.nii.gz","1","application/gzip","167292","3324839","1502374651056","3324839","1502374651056","syn10284975","https://www.synapse.org/#!Synapse:syn10285014.1","47df1060ed6310e87de70449e2f2ce9e"
"syn10285003","DET0027601_avg.nii.gz","1","application/gzip","168510","3324839","1502374630704","3324839","1502374630704","syn10284975","https://www.synapse.org/#!Synapse:syn10285003.1","ddcfe19947ea4a02d56fe665e911bbae"
"syn10284993","DET0029601_avg.nii.gz","1","application/gzip","175331","3324839","1502374607297","3324839","1502374607297","syn10284975","https://www.synapse.org/#!Synapse:syn10284993.1","8f7dfe55a260e82a1296ae4f748f5903"
"syn10285105","DET0024401_avg.nii.gz","1","application/gzip","179236","3324839","1502374921151","3324839","1502374921151","syn10285054","https://www.synapse.org/#!Synapse:syn10285105.1","02f19f184e3ad3224f2fbe1d29b6748a"
"syn10284999","DET0043301_avg.nii.gz","1","application/gzip","184247","3324839","1502374621714","3324839","1502374621714","syn10284975","https://www.synapse.org/#!Synapse:syn10284999.1","473f642ce7927a625bb7407b9c6483b0"
"syn10285145","DET0002601_avg.nii.gz","1","application/gzip","188012","3324839","1502374961362","3324839","1502374961362","syn10285054","https://www.synapse.org/#!Synapse:syn10285145.1","00352bd8d2335816b44ca2ae16d0482a"
"syn10284995","DET0042201_avg.nii.gz","1","application/gzip","194805","3324839","1502374612665","3324839","1502374612665","syn10284975","https://www.synapse.org/#!Synapse:syn10284995.1","f252f700be6f5080857a3912fbc6d2db"
"syn10285002","DET0014701_avg.nii.gz","1","application/gzip","197308","3324839","1502374628072","3324839","1502374628072","syn10284975","https://www.synapse.org/#!Synapse:syn10285002.1","aae9f63dd37d268519e5807f1c13b285"
"syn10285177","DET0003801_avg.nii.gz","1","application/gzip","199274","3324839","1502374993745","3324839","1502374993745","syn10285054","https://www.synapse.org/#!Synapse:syn10285177.1","13170ad35a52694cf79c12f4382c444b"
"syn10285042","DET0000701_avg.nii.gz","1","application/gzip","199844","3324839","1502374712253","3324839","1502374712253","syn10284975","https://www.synapse.org/#!Synapse:syn10285042.1","ed63fce1ed55a54d774c2fa28c4a9b1d"
"syn10285099","DET0029001_avg.nii.gz","1","application/gzip","200277","3324839","1502374913828","3324839","1502374913828","syn10285054","https://www.synapse.org/#!Synapse:syn10285099.1","ade0f546d41b1a0f2938fc1d7a43a8d9"
"syn10284988","DET0029301_avg.nii.gz","1","application/gzip","205931","3324839","1502374595494","3324839","1502374595494","syn10284975","https://www.synapse.org/#!Synapse:syn10284988.1","31075efeb250cef3d2e6f5bbf60326ac"
"syn10284980","DET0030301_avg.nii.gz","1","application/gzip","206549","3324839","1502374577329","3324839","1502374577329","syn10284975","https://www.synapse.org/#!Synapse:syn10284980.1","d9ad8dcbb7d64edef4d06c088d58853a"
"syn10284981","DET0024301_avg.nii.gz","1","application/gzip","209265","3324839","1502374579849","3324839","1502374579849","syn10284975","https://www.synapse.org/#!Synapse:syn10284981.1","95b96c33646e94b6b82e9bb99c06c88d"
"syn10284982","DET0029901_avg.nii.gz","1","application/gzip","216775","3324839","1502374582569","3324839","1502374582569","syn10284975","https://www.synapse.org/#!Synapse:syn10284982.1","80f69809b1b7e7c64a07115baf3282fd"
"syn10285072","DET0043101_avg.nii.gz","1","application/gzip","222435","3324839","1502374870588","3324839","1502374870588","syn10285054","https://www.synapse.org/#!Synapse:syn10285072.1","a3d5fce7d408f2cf07518c144165b8ea"
"syn10285095","DET0042501_avg.nii.gz","1","application/gzip","223518","3324839","1502374909562","3324839","1502374909562","syn10285054","https://www.synapse.org/#!Synapse:syn10285095.1","14ad8ce04017aca014135d29a6207081"
"syn10285071","DET0028601_avg.nii.gz","1","application/gzip","223871","3324839","1502374868598","3324839","1502374868598","syn10285054","https://www.synapse.org/#!Synapse:syn10285071.1","85b4c59e9562536fec0c22cf4eff2c60"
"syn10285047","DET0007601_avg.nii.gz","1","application/gzip","225979","3324839","1502374721952","3324839","1502374721952","syn10284975","https://www.synapse.org/#!Synapse:syn10285047.1","e7daf657ca4831cdd3b80c5b509a020e"
"syn10284979","DET0012401_avg.nii.gz","1","application/gzip","228894","3324839","1502374575795","3324839","1502374575795","syn10284975","https://www.synapse.org/#!Synapse:syn10284979.1","bcd22e7afd2205e32ea9d7db9b8bf76a"
"syn10284991","DET0029201_avg.nii.gz","1","application/gzip","229973","3324839","1502374603054","3324839","1502374603054","syn10284975","https://www.synapse.org/#!Synapse:syn10284991.1","3d1c902a13df4b41b2efc694907656e9"
"syn10285079","DET0043201_avg.nii.gz","1","application/gzip","231162","3324839","1502374883729","3324839","1502374883729","syn10285054","https://www.synapse.org/#!Synapse:syn10285079.1","09504c8c6d9ba89f73360d3ec0e1f5f1"
"syn10285057","DET0028801_avg.nii.gz","1","application/gzip","235977","3324839","1502374830358","3324839","1502374830358","syn10285054","https://www.synapse.org/#!Synapse:syn10285057.1","82d331751b405e64c1806bb71fd71b9a"
"syn10285129","DET0009001_avg.nii.gz","1","application/gzip","236134","3324839","1502374946171","3324839","1502374946171","syn10285054","https://www.synapse.org/#!Synapse:syn10285129.1","1664570fb21394649d06d921ba237527"
"syn10284990","DET0026701_avg.nii.gz","1","application/gzip","238199","3324839","1502374601240","3324839","1502374601240","syn10284975","https://www.synapse.org/#!Synapse:syn10284990.1","31a8351386cabc8020e9bbf5e67ce0a2"
"syn10285092","DET0042401_avg.nii.gz","1","application/gzip","238699","3324839","1502374904587","3324839","1502374904587","syn10285054","https://www.synapse.org/#!Synapse:syn10285092.1","b8b78b9111baf80b8d812b0fcf9d5298"
"syn10285019","DET0012001_avg.nii.gz","1","application/gzip","240603","3324839","1502374659318","3324839","1502374659318","syn10284975","https://www.synapse.org/#!Synapse:syn10285019.1","0566a9967dfd437c7e5f57b85b457288"
"syn10284989","DET0026601_avg.nii.gz","1","application/gzip","247321","3324839","1502374599390","3324839","1502374599390","syn10284975","https://www.synapse.org/#!Synapse:syn10284989.1","f0b3fedbb046815b266d88c51b6c6d9d"
"syn10285088","DET0042001_avg.nii.gz","1","application/gzip","248068","3324839","1502374897763","3324839","1502374897763","syn10285054","https://www.synapse.org/#!Synapse:syn10285088.1","08f080ad13f5c6b8a2ef07017b835b7a"
"syn10284996","DET0042301_avg.nii.gz","1","application/gzip","249778","3324839","1502374615755","3324839","1502374615755","syn10284975","https://www.synapse.org/#!Synapse:syn10284996.1","66fb21f4da0f747f01319bcbe3d3192d"
"syn10285044","DET0007301_avg.nii.gz","1","application/gzip","250635","3324839","1502374716315","3324839","1502374716315","syn10284975","https://www.synapse.org/#!Synapse:syn10285044.1","22ffc60c4916c230f8a552cf9d6635bb"
"syn10285152","DET0000101_avg.nii.gz","1","application/gzip","256142","3324839","1502374967983","3324839","1502374967983","syn10285054","https://www.synapse.org/#!Synapse:syn10285152.1","5a7988f965fb53ee743c3ade9111aa0d"
"syn10285001","DET0043001_avg.nii.gz","1","application/gzip","256184","3324839","1502374626406","3324839","1502374626406","syn10284975","https://www.synapse.org/#!Synapse:syn10285001.1","2f865ad1457d2ea947fa9e346d2a6746"
"syn10285097","DET0042601_avg.nii.gz","1","application/gzip","260606","3324839","1502374912114","3324839","1502374912114","syn10285054","https://www.synapse.org/#!Synapse:syn10285097.1","001898577cfbeb1f66f761579a4b20b0"
"syn10285165","DET0001601_avg.nii.gz","1","application/gzip","265192","3324839","1502374980148","3324839","1502374980149","syn10285054","https://www.synapse.org/#!Synapse:syn10285165.1","7fc3592c51cb966fd38fad364524e3e8"
"syn10284985","DET0042701_avg.nii.gz","1","application/gzip","266382","3324839","1502374589238","3324839","1502374589238","syn10284975","https://www.synapse.org/#!Synapse:syn10284985.1","f37426c490dd81425a303b4f2ab8af8c"
"syn10285045","DET0007501_avg.nii.gz","1","application/gzip","270826","3324839","1502374718056","3324839","1502374718056","syn10284975","https://www.synapse.org/#!Synapse:syn10285045.1","a0191483c371a497ab1615fdcebf2959"
"syn10284998","DET0014401_avg.nii.gz","1","application/gzip","292742","3324839","1502374619333","3324839","1502374619333","syn10284975","https://www.synapse.org/#!Synapse:syn10284998.1","d2a7762cbede6b6f6833d525476e870b"
"syn10285093","DET0015201_avg.nii.gz","1","application/gzip","294048","3324839","1502374906749","3324839","1502374906749","syn10285054","https://www.synapse.org/#!Synapse:syn10285093.1","b1fa33fdc4a30e65e26d6f68a3114605"
